prompt_tokens,retained_prefix_tokens,evaluated_tokens,repetition,chunk_count,prompt_eval_ms,total_gpu_kernel_ms,attention_ms,attention_instances,attention_avg_us,attention_ms_per_evaluated_token,matmul_ms,matmul_instances,matmul_avg_us,matmul_ms_per_evaluated_token,mlp_matmul_ms,mlp_matmul_instances,mlp_matmul_avg_us,mlp_matmul_ms_per_evaluated_token,other_quantized_matmul_ms,other_quantized_matmul_instances,other_quantized_matmul_avg_us,other_quantized_matmul_ms_per_evaluated_token,mlp_activation_ms,mlp_activation_ms_per_evaluated_token,attention_share_selected_pct,attention_share_total_gpu_pct
128,24,104,1,1,29.786,34.346858,0.859842,28,30.708642857142856,0.008267711538461538,17.316762,193,89.72415544041452,0.16650732692307693,13.571846,81,167.55365432098768,0.13049851923076924,3.744916,112,33.436749999999996,0.036008807692307694,1.104452,0.010619730769230768,4.459517155076983,2.503408026434325
128,24,104,2,1,29.868,34.397985,0.860772,28,30.74185714285714,0.008276653846153847,17.344549,193,89.86812953367875,0.16677450961538462,13.612332,81,168.0534814814815,0.1308878076923077,3.732217,112,33.32336607142857,0.03588670192307692,1.104868,0.010623730769230769,4.4576052569967075,2.5023907650404524
256,24,232,1,1,51.708,55.804491,1.050857,28,37.53060714285714,0.004529556034482758,34.11594,193,176.76652849740933,0.14705146551724138,27.923589,81,344.73566666666665,0.1203602974137931,6.192351,112,55.28884821428572,0.02669116810344828,2.425202,0.010453456896551725,2.795427292919432,1.8831047128447063
256,24,232,2,1,51.493,55.767836,1.051274,28,37.545500000000004,0.004531353448275862,34.075118,193,176.55501554404145,0.14687550862068968,27.891405,81,344.3383333333333,0.12022157327586207,6.183713,112,55.21172321428571,0.026653935344827587,2.426347,0.01045839224137931,2.7994602470940935,1.8850901799381277
512,26,486,1,1,96.781,99.46395,2.386643,28,85.23725,0.0049107880658436215,67.698206,193,350.7679067357513,0.13929672016460906,57.13433,81,705.3620987654322,0.11756034979423868,10.563876,112,94.32032142857143,0.02173637037037037,5.0089,0.010306378600823044,3.1782179366221275,2.3995055494980844
512,26,486,2,1,97.856,100.685046,2.424878,28,86.60278571428572,0.0049894609053497945,68.802646,193,356.49039378238336,0.1415692304526749,58.032433,81,716.4497901234568,0.11940829835390945,10.770213,112,96.16261607142857,0.02216093209876543,5.010341,0.010309343621399177,3.180674065308623,2.40837949262098
768,24,744,1,1,134.97,136.527449,4.141213,28,147.90046428571426,0.005566146505376343,97.895203,193,507.2290310880829,0.13157957392473119,84.083101,81,1038.0629753086419,0.11301492069892473,13.812102,112,123.32233928571428,0.01856465322580645,7.574966,0.010181405913978495,3.7780866589201474,3.0332457174967065
768,24,744,2,1,134.765,136.706734,4.144096,28,148.0034285714286,0.005570021505376345,98.066189,193,508.1149689119171,0.1318093938172043,84.250696,81,1040.132049382716,0.11324018279569893,13.815493,112,123.35261607142857,0.018569211021505376,7.576696,0.010183731182795698,3.774669785299953,3.0313766401587796
1024,24,1000,1,1,185.913,184.94766,6.814421,28,243.37217857142858,0.006814421,134.515252,193,696.9702176165804,0.134515252,115.673767,81,1428.071197530864,0.115673767,18.841485,112,168.2275446428571,0.018841484999999998,10.18017,0.01018017,4.497675441456302,3.6845132293103897
1024,24,1000,2,1,186.437,185.855925,6.865906,28,245.21092857142858,0.006865906,135.390697,193,701.5062020725388,0.13539069699999998,116.400284,81,1437.0405432098764,0.11640028399999999,18.990413,112,169.55725892857143,0.018990413,10.18648,0.01018648,4.503914421620561,3.6942088340740273
1536,24,1512,1,2,279.758,278.985994,10.352429,56,184.86480357142858,0.006846844576719577,204.128214,386,528.8295699481865,0.13500543253968256,174.262214,162,1075.6926790123457,0.11525278703703704,29.866,224,133.33035714285714,0.0197526455026455,15.45718,0.010223002645502645,4.502273208005453,3.7107343101962313
1536,24,1512,2,2,280.596,278.615115,10.237326,56,182.80939285714285,0.006770718253968254,203.885663,386,528.2011994818653,0.13484501521164022,174.026427,162,1074.237203703704,0.11509684325396827,29.859236,224,133.3001607142857,0.019748171957671957,15.433465,0.010207318121693123,4.4596114906009126,3.674361313814579
2048,24,2024,1,2,368.09,365.085174,17.556971,56,313.5173392857143,0.008674392786561265,269.023991,386,696.9533445595856,0.1329169916007905,231.269971,162,1427.5924135802468,0.11426381966403162,37.75402,224,168.54473214285713,0.018653171936758892,20.614567,0.010185062747035574,5.715243010584311,4.809006842879903
2048,24,2024,2,2,367.359,365.780128,17.588166,56,314.07439285714287,0.00868980533596838,269.658872,386,698.5981139896372,0.1332306679841897,231.744573,162,1430.5220555555557,0.11449830681818182,37.914299,224,169.26026339285713,0.018732361166007905,20.607482,0.010181562252964427,5.713142038648646,4.808398448589313
3072,24,3048,1,3,557.014,553.423217,34.158913,84,406.6537261904762,0.01120699245406824,405.765765,579,700.8044300518135,0.13312525098425196,348.643407,243,1434.7465308641977,0.11438431988188977,57.122358,336,170.00701785714287,0.018740931102362204,31.007969,0.010173218175853017,7.253460387085885,6.172294900305926
3072,24,3048,2,3,558.386,552.783562,34.127046,84,406.2743571428572,0.011196537401574802,405.163956,579,699.7650362694301,0.13292780708661417,348.196833,243,1432.908777777778,0.11423780610236221,56.967123,336,169.54500892857143,0.01869000098425197,31.031175,0.010180831692913386,7.256099684195839,6.17367236401288
4096,24,4072,1,4,755.942,747.260526,56.573911,112,505.12420535714284,0.013893396611001965,542.243276,772,702.3876632124353,0.13316386935166996,465.883226,324,1437.9111913580246,0.11441140127701374,76.36005,448,170.44654017857144,0.01875246807465619,41.445532,0.010178175834970531,8.83604641050481,7.570841631744376
4096,24,4072,2,4,752.541,746.6902,56.409716,112,503.65817857142855,0.013853073673870335,541.861217,772,701.8927681347151,0.1330700434675835,465.641119,324,1437.163947530864,0.11435194474459726,76.220098,448,170.13414732142857,0.018718098722986246,41.438627,0.01017648010805501,8.818019852634373,7.554634572678201
