prompt_tokens,evaluated_tokens,chunk_count,captures,prompt_eval_ms_mean,prompt_eval_ms_min,prompt_eval_ms_max,total_gpu_kernel_ms_mean,total_gpu_kernel_ms_min,total_gpu_kernel_ms_max,attention_ms_mean,attention_ms_min,attention_ms_max,attention_avg_us_mean,attention_avg_us_min,attention_avg_us_max,attention_ms_per_evaluated_token_mean,attention_ms_per_evaluated_token_min,attention_ms_per_evaluated_token_max,matmul_ms_mean,matmul_ms_min,matmul_ms_max,matmul_avg_us_mean,matmul_avg_us_min,matmul_avg_us_max,matmul_ms_per_evaluated_token_mean,matmul_ms_per_evaluated_token_min,matmul_ms_per_evaluated_token_max,mlp_matmul_ms_mean,mlp_matmul_ms_min,mlp_matmul_ms_max,mlp_matmul_avg_us_mean,mlp_matmul_avg_us_min,mlp_matmul_avg_us_max,mlp_matmul_ms_per_evaluated_token_mean,mlp_matmul_ms_per_evaluated_token_min,mlp_matmul_ms_per_evaluated_token_max,other_quantized_matmul_ms_mean,other_quantized_matmul_ms_min,other_quantized_matmul_ms_max,other_quantized_matmul_avg_us_mean,other_quantized_matmul_avg_us_min,other_quantized_matmul_avg_us_max,other_quantized_matmul_ms_per_evaluated_token_mean,other_quantized_matmul_ms_per_evaluated_token_min,other_quantized_matmul_ms_per_evaluated_token_max,mlp_activation_ms_mean,mlp_activation_ms_min,mlp_activation_ms_max,mlp_activation_ms_per_evaluated_token_mean,mlp_activation_ms_per_evaluated_token_min,mlp_activation_ms_per_evaluated_token_max,attention_share_selected_pct_mean,attention_share_selected_pct_min,attention_share_selected_pct_max,attention_share_total_gpu_pct_mean,attention_share_total_gpu_pct_min,attention_share_total_gpu_pct_max
128,104,1,2,29.826999999999998,29.786,29.868,34.3724215,34.346858,34.397985,0.8603069999999999,0.859842,0.860772,30.725249999999996,30.708642857142856,30.74185714285714,0.008272182692307693,0.008267711538461538,0.008276653846153847,17.3306555,17.316762,17.344549,89.79614248704664,89.72415544041452,89.86812953367875,0.16664091826923078,0.16650732692307693,0.16677450961538462,13.592089000000001,13.571846,13.612332,167.8035679012346,167.55365432098768,168.0534814814815,0.13069316346153848,0.13049851923076924,0.1308878076923077,3.7385665,3.732217,3.744916,33.380058035714285,33.32336607142857,33.436749999999996,0.03594775480769231,0.03588670192307692,0.036008807692307694,1.10466,1.104452,1.104868,0.010621730769230769,0.010619730769230768,0.010623730769230769,4.458561206036846,4.4576052569967075,4.459517155076983,2.502899395737389,2.5023907650404524,2.503408026434325
256,232,1,2,51.6005,51.493,51.708,55.7861635,55.767836,55.804491,1.0510655,1.050857,1.051274,37.53805357142858,37.53060714285714,37.545500000000004,0.00453045474137931,0.004529556034482758,0.004531353448275862,34.095529,34.075118,34.11594,176.6607720207254,176.55501554404145,176.76652849740933,0.14696348706896553,0.14687550862068968,0.14705146551724138,27.907497,27.891405,27.923589,344.537,344.3383333333333,344.73566666666665,0.12029093534482758,0.12022157327586207,0.1203602974137931,6.188032,6.183713,6.192351,55.25028571428572,55.21172321428571,55.28884821428572,0.026672551724137933,0.026653935344827587,0.02669116810344828,2.4257745,2.425202,2.426347,0.010455924568965517,0.010453456896551725,0.01045839224137931,2.7974437700067627,2.795427292919432,2.7994602470940935,1.8840974463914169,1.8831047128447063,1.8850901799381277
512,486,1,2,97.3185,96.781,97.856,100.074498,99.46395,100.685046,2.4057605,2.386643,2.424878,85.92001785714285,85.23725,86.60278571428572,0.004950124485596708,0.0049107880658436215,0.0049894609053497945,68.250426,67.698206,68.802646,353.62915025906733,350.7679067357513,356.49039378238336,0.14043297530864196,0.13929672016460906,0.1415692304526749,57.5833815,57.13433,58.032433,710.9059444444445,705.3620987654322,716.4497901234568,0.11848432407407407,0.11756034979423868,0.11940829835390945,10.6670445,10.563876,10.770213,95.24146875,94.32032142857143,96.16261607142857,0.0219486512345679,0.02173637037037037,0.02216093209876543,5.0096205000000005,5.0089,5.010341,0.010307861111111111,0.010306378600823044,0.010309343621399177,3.1794460009653753,3.1782179366221275,3.180674065308623,2.403942521059532,2.3995055494980844,2.40837949262098
768,744,1,2,134.8675,134.765,134.97,136.61709150000002,136.527449,136.706734,4.1426545,4.141213,4.144096,147.95194642857143,147.90046428571426,148.0034285714286,0.005568084005376344,0.005566146505376343,0.005570021505376345,97.980696,97.895203,98.066189,507.672,507.2290310880829,508.1149689119171,0.13169448387096774,0.13157957392473119,0.1318093938172043,84.1668985,84.083101,84.250696,1039.097512345679,1038.0629753086419,1040.132049382716,0.11312755174731183,0.11301492069892473,0.11324018279569893,13.8137975,13.812102,13.815493,123.33747767857142,123.32233928571428,123.35261607142857,0.018566932123655913,0.01856465322580645,0.018569211021505376,7.575831,7.574966,7.576696,0.010182568548387096,0.010181405913978495,0.010183731182795698,3.77637822211005,3.774669785299953,3.7780866589201474,3.032311178827743,3.0313766401587796,3.0332457174967065
1024,1000,1,2,186.175,185.913,186.437,185.4017925,184.94766,185.855925,6.8401635,6.814421,6.865906,244.29155357142858,243.37217857142858,245.21092857142858,0.0068401634999999995,0.006814421,0.006865906,134.95297449999998,134.515252,135.390697,699.2382098445596,696.9702176165804,701.5062020725388,0.1349529745,0.134515252,0.13539069699999998,116.0370255,115.673767,116.400284,1432.5558703703703,1428.071197530864,1437.0405432098764,0.1160370255,0.115673767,0.11640028399999999,18.915948999999998,18.841485,18.990413,168.89240178571427,168.2275446428571,169.55725892857143,0.018915949,0.018841484999999998,0.018990413,10.183325,10.18017,10.18648,0.010183325,0.01018017,0.01018648,4.500794931538431,4.497675441456302,4.503914421620561,3.6893610316922087,3.6845132293103897,3.6942088340740273
1536,1512,2,2,280.177,279.758,280.596,278.8005545,278.615115,278.985994,10.2948775,10.237326,10.352429,183.83709821428573,182.80939285714285,184.86480357142858,0.006808781415343915,0.006770718253968254,0.006846844576719577,204.0069385,203.885663,204.128214,528.5153847150259,528.2011994818653,528.8295699481865,0.1349252238756614,0.13484501521164022,0.13500543253968256,174.1443205,174.026427,174.262214,1074.9649413580248,1074.237203703704,1075.6926790123457,0.11517481514550265,0.11509684325396827,0.11525278703703704,29.862617999999998,29.859236,29.866,133.31525892857144,133.3001607142857,133.33035714285714,0.01975040873015873,0.019748171957671957,0.0197526455026455,15.4453225,15.433465,15.45718,0.010215160383597884,0.010207318121693123,0.010223002645502645,4.480942349303183,4.4596114906009126,4.502273208005453,3.6925478120054054,3.674361313814579,3.7107343101962313
2048,2024,2,2,367.7245,367.359,368.09,365.43265099999996,365.085174,365.780128,17.572568500000003,17.556971,17.588166,313.7958660714286,313.5173392857143,314.07439285714287,0.008682099061264822,0.008674392786561265,0.00868980533596838,269.3414315,269.023991,269.658872,697.7757292746114,696.9533445595856,698.5981139896372,0.1330738297924901,0.1329169916007905,0.1332306679841897,231.507272,231.269971,231.744573,1429.057234567901,1427.5924135802468,1430.5220555555557,0.11438106324110672,0.11426381966403162,0.11449830681818182,37.8341595,37.75402,37.914299,168.90249776785714,168.54473214285713,169.26026339285713,0.018692766551383397,0.018653171936758892,0.018732361166007905,20.6110245,20.607482,20.614567,0.0101833125,0.010181562252964427,0.010185062747035574,5.714192524616479,5.713142038648646,5.715243010584311,4.808702645734607,4.808398448589313,4.809006842879903
3072,3048,3,2,557.7,557.014,558.386,553.1033895,552.783562,553.423217,34.142979499999996,34.127046,34.158913,406.46404166666673,406.2743571428572,406.6537261904762,0.01120176492782152,0.011196537401574802,0.01120699245406824,405.4648605,405.163956,405.765765,700.2847331606217,699.7650362694301,700.8044300518135,0.13302652903543305,0.13292780708661417,0.13312525098425196,348.42012,348.196833,348.643407,1433.8276543209877,1432.908777777778,1434.7465308641977,0.11431106299212598,0.11423780610236221,0.11438431988188977,57.0447405,56.967123,57.122358,169.77601339285715,169.54500892857143,170.00701785714287,0.018715466043307087,0.01869000098425197,0.018740931102362204,31.019572,31.007969,31.031175,0.010177024934383203,0.010173218175853017,0.010180831692913386,7.254780035640862,7.253460387085885,7.256099684195839,6.1729836321594025,6.172294900305926,6.17367236401288
4096,4072,4,2,754.2415000000001,752.541,755.942,746.975363,746.6902,747.260526,56.491813500000006,56.409716,56.573911,504.39119196428567,503.65817857142855,505.12420535714284,0.01387323514243615,0.013853073673870335,0.013893396611001965,542.0522465,541.861217,542.243276,702.1402156735752,701.8927681347151,702.3876632124353,0.13311695640962673,0.1330700434675835,0.13316386935166996,465.7621725,465.641119,465.883226,1437.5375694444442,1437.163947530864,1437.9111913580246,0.1143816730108055,0.11435194474459726,0.11441140127701374,76.290074,76.220098,76.36005,170.29034375,170.13414732142857,170.44654017857144,0.018735283398821218,0.018718098722986246,0.01875246807465619,41.4420795,41.438627,41.445532,0.01017732797151277,0.01017648010805501,0.010178175834970531,8.827033131569593,8.818019852634373,8.83604641050481,7.562738102211288,7.554634572678201,7.570841631744376
8192,8168,8,2,1614.221,1612.343,1616.099,1591.354075,1590.088808,1592.619342,208.1476255,208.097675,208.197576,929.2304709821428,929.0074776785715,929.4534642857143,0.025483303807541626,0.025477188418217434,0.025489419196865818,1094.828366,1093.624552,1096.03218,709.0857292746114,708.3060569948186,709.8654015544041,0.13403873237022526,0.13389135063663074,0.13418611410381978,940.8322495,939.823067,941.841432,1451.9016195987656,1450.344239197531,1453.459,0.11518514318070519,0.11506158998530852,0.11530869637610187,153.99611650000003,153.801485,154.190748,171.87066573660718,171.65344308035716,172.08788839285717,0.018853589189520077,0.018829760651322233,0.018877417727717925,83.142266,83.138876,83.145656,0.01017902375122429,0.010178608716944171,0.010179438785504407,15.016593908258162,15.006651527061482,15.026536289454842,13.079912298507598,13.072651481084424,13.087173115930769
